handcard1,handcard2,samesuit,preflopfirstactioninnumber,id
3,T,1,2,513
J,K,0,2,514
9,5,0,0,515
2,9,0,1,516
8,K,0,0,517
8,J,0,2,518
2,K,0,2,519
9,K,1,2,520
2,K,1,0,521
4,6,1,2,522
6,7,0,2,523
J,9,0,2,524
J,4,0,0,525
8,K,1,2,526
3,7,0,1,527
4,4,0,2,528
K,6,0,2,529
6,8,0,2,530
7,8,1,2,531
5,5,0,2,532
2,J,0,0,533
A,4,1,2,534
K,9,1,2,535
3,K,0,2,536
K,7,0,2,537
Q,Q,0,2,538
4,J,0,0,539
Q,8,0,2,540
Q,T,1,2,541
3,5,0,0,542
T,8,0,2,543
T,9,0,2,544
7,4,0,0,545
8,9,0,2,546
6,A,0,2,547
Q,4,1,0,548
2,6,1,2,549
7,3,0,0,550
9,2,0,1,551
4,6,1,2,552
A,J,0,2,553
6,K,1,0,554
8,9,1,2,555
3,5,0,2,556
T,5,0,0,557
T,9,0,2,558
J,3,0,0,559
5,9,1,2,560
5,5,0,2,561
8,3,0,1,562
A,4,0,2,563
A,J,0,0,564
J,7,0,2,565
2,5,0,1,566
Q,5,0,2,567
7,2,0,1,568
7,K,0,2,569
K,6,0,2,570
Q,A,0,2,571
3,8,0,1,572
6,7,0,0,573
7,6,0,2,574
J,8,0,2,575
3,2,0,1,576
T,8,1,2,577
K,8,0,2,578
2,J,1,2,579
T,2,0,0,580
K,4,0,2,581
T,7,1,0,582
8,K,0,2,583
J,9,0,2,584
4,5,0,2,585
Q,7,0,2,586
3,Q,0,2,587
8,8,0,2,588
K,T,0,2,589
2,T,0,0,590
Q,7,0,0,591
T,6,0,2,592
Q,6,1,0,593
8,2,0,1,594
K,K,0,2,595
J,5,0,0,596
8,7,0,2,597
5,A,1,2,598
A,A,0,2,599
3,T,0,0,600
5,7,0,2,601
7,3,0,0,602
K,K,0,2,603
8,6,0,0,604
8,3,0,1,605
8,7,1,2,606
9,9,0,2,607
T,5,1,2,608
7,3,0,1,609
K,2,0,2,610
4,2,0,1,611
4,A,0,0,612
Q,A,0,2,613
2,A,0,2,614
4,6,0,2,615
4,T,0,0,616
8,K,0,2,617
2,Q,0,0,618
J,9,0,2,619
A,3,0,2,620
T,A,0,2,621
6,9,1,0,622
A,Q,0,2,623
A,J,0,2,624
K,5,0,2,625
K,3,1,0,626
5,A,0,2,627
A,4,1,0,628
3,4,1,2,629
T,6,0,2,630
2,8,0,1,631
2,K,1,0,632
K,A,0,2,633
5,8,0,0,634
8,7,0,2,635
6,4,0,0,636
J,3,0,0,637
3,7,1,2,638
9,3,0,1,639
6,2,1,2,640
6,Q,1,0,641
3,7,1,2,642
Q,4,0,0,643
J,2,0,0,644
8,8,0,2,645
2,A,0,2,646
T,2,0,0,647
3,6,0,0,648
T,3,0,0,649
5,Q,0,0,650
6,J,0,2,651
5,T,0,2,652
8,7,0,2,653
6,2,0,1,654
6,7,0,2,655
Q,K,0,2,656
8,4,1,2,657
3,J,0,0,658
A,7,1,2,659
9,5,0,0,660
9,A,0,0,661
K,8,0,2,662
8,4,0,0,663
8,3,1,2,664
4,T,1,2,665
K,9,0,0,666
4,2,0,1,667
Q,T,0,2,668
6,4,0,2,669
T,T,0,2,670
9,A,0,2,671
J,6,0,0,672
8,3,0,1,673
6,T,1,2,674
9,Q,0,2,675
T,5,1,2,676
6,5,0,2,677
9,8,0,2,678
J,K,0,2,679
A,4,1,2,680
K,4,0,2,681
4,6,1,0,682
7,9,0,2,683
4,2,0,1,684
Q,6,0,2,685
K,4,0,2,686
8,3,0,1,687
7,J,0,2,688
2,5,0,1,689
4,T,1,2,690
5,5,0,2,691
2,7,0,1,692
4,J,0,2,693
3,Q,0,0,694
K,8,0,2,695
2,8,1,0,696
3,T,1,2,697
8,3,0,1,698
K,J,0,0,699
K,8,0,0,700
9,6,0,2,701
9,Q,0,2,702
K,T,1,2,703
7,J,0,2,704
9,3,1,2,705
6,2,1,0,706
Q,Q,0,2,707
6,J,0,2,708
K,7,0,2,709
4,6,0,2,710
J,A,0,2,711
5,7,1,0,712
J,4,1,2,713
2,7,0,1,714
A,7,0,2,715
J,K,0,0,716
9,5,1,2,717
A,4,0,0,718
Q,2,0,0,719
K,9,1,2,720
6,8,0,2,721
Q,K,0,2,722
Q,9,0,0,723
7,Q,0,2,724
5,5,0,0,725
J,A,0,0,726
9,6,0,2,727
A,8,1,2,728
J,7,1,0,729
5,7,0,2,730
A,4,0,2,731
Q,Q,0,2,732
8,5,0,0,733
8,7,0,0,734
5,A,1,2,735
6,Q,0,2,736
6,T,0,2,737
7,3,0,1,738
8,Q,0,2,739
A,K,0,2,740
K,2,0,2,741
T,9,1,2,742
K,3,1,2,743
Q,4,0,2,744
Q,T,0,2,745
T,Q,0,2,746
2,5,1,2,747
K,J,0,2,748
6,K,0,0,749
6,7,0,2,750
8,6,0,2,751
7,Q,0,2,752
T,4,1,2,753
6,3,0,0,754
A,4,0,2,755
8,Q,0,2,756
3,3,0,2,757
K,J,1,2,758
8,Q,0,2,759
J,2,1,2,760
A,K,0,2,761
J,J,0,2,762
T,J,0,2,763
6,8,0,2,764
J,Q,1,2,765
K,7,1,0,766
J,K,0,2,767
7,5,0,2,768
9,6,1,2,769
7,T,0,2,770
3,5,0,2,771
K,8,1,2,772
2,5,0,1,773
A,3,0,2,774
9,6,0,2,775
7,3,0,1,776
8,3,1,2,777
4,2,1,2,778
3,T,0,0,779
3,J,0,0,780
2,K,1,0,781
6,2,1,2,782
8,K,1,2,783
T,2,0,0,784
2,5,1,0,785
K,K,0,2,786
A,6,1,2,787
6,9,0,2,788
K,K,0,2,789
2,6,0,1,790
9,5,0,2,791
3,K,0,2,792
3,3,0,2,793
2,J,0,0,794
5,K,0,0,795
6,A,0,2,796
Q,J,1,2,797
8,5,1,2,798
4,7,0,2,799
A,7,0,2,800
A,8,1,2,801
A,Q,0,2,802
5,Q,0,2,803
2,4,1,2,804
5,T,1,2,805
7,Q,0,2,806
Q,6,0,2,807
4,3,1,2,808
3,K,1,0,809
8,4,0,0,810
A,6,1,0,811
J,K,0,0,812
4,7,0,2,813
5,4,1,2,814
8,2,1,0,815
4,T,0,0,816
9,K,1,2,817
A,9,0,0,818
K,8,1,2,819
5,4,0,2,820
K,9,0,0,821
2,8,0,1,822
3,9,1,2,823
3,T,1,2,824
9,J,0,0,825
Q,K,0,2,826
5,3,0,0,827
7,A,0,2,828
4,2,0,1,829
J,8,0,2,830
7,6,0,2,831
T,8,0,2,832
7,3,0,1,833
7,3,0,0,834
9,5,0,0,835
K,4,0,2,836
6,Q,1,0,837
J,J,0,2,838
T,4,1,2,839
K,Q,0,0,840
T,4,0,0,841
A,6,0,2,842
6,A,0,2,843
9,7,0,2,844
3,K,0,2,845
3,5,0,2,846
7,T,1,2,847
Q,T,0,0,848
K,A,1,2,849
6,J,0,0,850
A,6,0,2,851
2,A,0,2,852
7,J,0,0,853
4,2,0,1,854
9,Q,0,2,855
3,K,0,0,856
T,2,1,2,857
J,7,0,2,858
4,8,0,0,859
2,9,0,1,860
5,5,0,2,861
6,7,0,0,862
7,8,0,0,863
2,4,0,1,864
5,7,0,2,865
8,Q,0,2,866
4,K,0,2,867
Q,A,0,2,868
9,9,0,2,869
4,Q,0,2,870
9,J,0,2,871
2,2,0,2,872
4,3,0,2,873
7,A,1,2,874
6,T,0,0,875
8,4,0,0,876
2,T,1,2,877
7,8,0,2,878
T,K,0,2,879
8,9,0,2,880
4,8,0,0,881
Q,4,0,2,882
A,7,0,0,883
A,7,0,2,884
9,4,0,0,885
8,5,0,0,886
Q,T,0,0,887
7,4,0,0,888
J,9,0,2,889
5,7,0,2,890
8,T,1,2,891
J,8,0,2,892
8,Q,0,2,893
A,3,0,2,894
K,2,0,2,895
Q,4,0,2,896
5,K,0,2,897
7,A,0,2,898
J,4,1,0,899
5,4,0,2,900
T,9,1,2,901
J,2,1,2,902
4,5,1,2,903
7,6,1,2,904
3,5,0,0,905
9,5,0,0,906
2,Q,1,0,907
3,5,0,2,908
6,5,0,0,909
4,A,0,2,910
A,7,0,2,911
3,6,1,2,912
T,9,1,2,913
2,Q,0,0,914
K,J,1,2,915
9,7,0,2,916
6,K,0,2,917
T,Q,0,2,918
2,5,1,2,919
8,J,1,2,920
4,J,1,2,921
J,A,1,2,922
J,T,1,2,923
8,2,0,1,924
2,9,0,1,925
8,5,0,2,926
2,J,0,0,927
3,5,0,0,928
4,7,1,2,929
5,9,0,0,930
2,T,0,0,931
8,3,0,1,932
2,9,0,1,933
7,7,0,2,934
Q,K,0,2,935
K,6,1,2,936
9,K,1,2,937
T,7,0,2,938
9,A,0,2,939
J,8,0,2,940
7,5,0,2,941
3,A,0,0,942
A,J,0,2,943
7,J,0,2,944
Q,A,1,2,945
K,3,1,0,946
9,9,0,2,947
Q,A,0,2,948
9,Q,0,0,949
A,2,0,2,950
8,2,0,1,951
J,6,0,2,952
8,K,0,2,953
9,5,0,0,954
Q,7,0,2,955
T,3,0,0,956
7,3,0,1,957
6,A,0,2,958
K,4,0,2,959
4,Q,0,0,960
8,2,1,2,961
6,J,0,2,962
9,2,0,1,963
A,J,0,2,964
5,T,0,0,965
8,5,0,2,966
5,4,1,2,967
3,5,1,2,968
A,6,0,2,969
Q,5,0,2,970
K,2,0,0,971
2,4,1,2,972
2,3,0,1,973
4,4,0,2,974
4,5,0,2,975
T,T,0,2,976
Q,9,1,2,977
J,8,1,2,978
A,Q,0,2,979
5,9,0,0,980
8,K,1,2,981
5,K,1,0,982
6,K,0,2,983
4,Q,0,2,984
9,T,1,2,985
J,K,0,2,986
9,K,0,2,987
Q,K,1,2,988
Q,J,1,2,989
A,6,1,2,990
J,A,0,2,991
2,9,0,1,992
J,5,0,2,993
A,9,1,2,994
6,9,0,0,995
A,T,0,2,996
A,4,0,0,997
T,Q,0,0,998
9,3,0,0,999
J,7,0,2,1000
A,Q,0,2,1001
2,9,0,1,1002
2,4,0,1,1003
6,Q,1,2,1004
5,K,0,2,1005
4,8,0,0,1006
9,T,1,0,1007
7,T,0,2,1008
9,3,0,1,1009
9,2,0,1,1010
Q,6,0,2,1011
3,6,0,0,1012
4,9,0,0,1013
8,K,0,2,1014
7,T,0,2,1015
9,4,0,0,1016
3,7,1,2,1017
Q,4,0,2,1018
Q,T,0,2,1019
9,7,0,2,1020
Q,T,0,2,1021
2,3,0,1,1022
Q,8,0,2,1023
Q,5,0,2,1024
9,6,1,2,1025
J,Q,1,2,1026
A,3,0,2,1027
3,J,0,0,1028
7,5,0,2,1029
J,3,1,2,1030
J,Q,0,2,1031
9,5,1,2,1032
8,Q,0,2,1033
8,7,1,2,1034
A,5,1,2,1035
Q,A,0,2,1036
A,9,1,2,1037
A,6,1,2,1038
5,T,1,2,1039
7,8,0,2,1040
A,7,0,0,1041
9,6,0,0,1042
Q,7,0,2,1043
A,3,0,2,1044
8,3,0,1,1045
T,8,0,0,1046
9,5,0,2,1047
T,A,0,2,1048
5,3,0,2,1049
9,9,0,2,1050
J,7,0,2,1051
7,4,1,2,1052
2,Q,0,0,1053
A,9,0,2,1054
8,8,0,2,1055
4,6,0,0,1056
A,T,0,2,1057
J,5,0,2,1058
9,3,0,1,1059
4,Q,0,2,1060
K,8,0,2,1061
K,4,0,2,1062
2,3,1,2,1063
8,9,1,2,1064
5,5,0,2,1065
2,8,0,1,1066
7,2,0,1,1067
4,5,1,2,1068
3,2,0,1,1069
7,A,0,2,1070
8,T,0,2,1071
A,T,1,2,1072
Q,5,0,2,1073
3,2,0,1,1074
8,9,1,2,1075
Q,A,1,2,1076
T,2,0,0,1077
8,K,0,0,1078
Q,8,0,2,1079
4,5,1,2,1080
7,6,0,0,1081
K,4,0,2,1082
3,A,0,2,1083
7,K,0,2,1084
8,A,0,0,1085
4,A,0,0,1086
8,9,0,2,1087
5,Q,0,2,1088
6,Q,0,2,1089
8,9,0,2,1090
J,4,0,2,1091
9,T,0,2,1092
6,8,1,2,1093
9,7,1,2,1094
7,3,0,0,1095
2,8,0,1,1096
4,3,0,0,1097
6,2,0,1,1098
K,7,1,2,1099
5,3,1,2,1100
A,9,1,2,1101
3,5,0,0,1102
5,A,1,2,1103
7,T,1,2,1104
A,4,0,2,1105
K,T,0,2,1106
2,5,0,1,1107
K,T,0,2,1108
K,2,0,0,1109
J,3,0,0,1110
7,9,1,2,1111
T,9,0,2,1112
2,J,0,0,1113
Q,T,0,2,1114
J,Q,0,2,1115
A,6,0,2,1116
8,J,1,0,1117
4,5,1,2,1118
5,2,1,2,1119
8,3,1,2,1120
Q,T,0,0,1121
J,5,0,2,1122
J,6,0,2,1123
A,5,0,2,1124
3,A,0,2,1125
4,2,0,1,1126
T,7,1,2,1127
T,T,0,2,1128
J,5,0,2,1129
Q,5,0,2,1130
2,T,1,2,1131
7,7,0,2,1132
K,8,1,2,1133
2,5,0,0,1134
7,9,1,2,1135
Q,4,0,2,1136
3,Q,0,0,1137
6,4,0,2,1138
K,Q,1,2,1139
3,K,0,0,1140
3,Q,0,0,1141
A,3,0,2,1142
7,9,1,2,1143
9,K,0,2,1144
K,6,0,2,1145
5,8,0,2,1146
6,8,0,0,1147
6,8,0,2,1148
3,2,1,0,1149
9,Q,0,0,1150
2,8,0,1,1151
9,5,1,2,1152
5,3,1,2,1153
9,T,0,2,1154
3,Q,0,0,1155
J,2,0,0,1156
6,6,0,2,1157
3,2,0,1,1158
7,A,0,0,1159
4,K,1,2,1160
J,4,0,0,1161
3,2,0,1,1162
A,3,1,0,1163
8,Q,0,2,1164
K,Q,0,2,1165
Q,2,0,0,1166
2,Q,1,2,1167
T,K,0,0,1168
6,6,0,2,1169
2,2,0,2,1170
4,5,0,0,1171
Q,3,0,0,1172
2,9,0,1,1173
K,Q,0,2,1174
8,7,0,2,1175
T,3,1,2,1176
J,7,0,2,1177
J,7,0,2,1178
9,2,0,1,1179
Q,2,1,0,1180
K,2,0,2,1181
4,8,1,2,1182
7,6,1,2,1183
T,7,1,2,1184
A,T,0,2,1185
4,T,0,0,1186
2,A,0,2,1187
4,J,0,2,1188
A,J,0,2,1189
8,4,0,0,1190
8,5,0,0,1191
J,6,0,0,1192
Q,7,0,2,1193
3,K,1,0,1194
6,9,0,2,1195
K,2,0,0,1196
4,K,1,0,1197
A,9,1,2,1198
A,4,1,2,1199
6,9,1,2,1200
T,3,0,0,1201
4,J,0,2,1202
9,T,0,0,1203
6,A,0,2,1204
A,8,0,2,1205
Q,6,0,2,1206
A,Q,0,2,1207
A,T,0,2,1208
8,Q,0,2,1209
T,5,0,0,1210
2,5,0,1,1211
8,Q,0,2,1212
3,6,0,0,1213
3,5,0,0,1214
4,Q,0,2,1215
Q,T,0,0,1216
J,J,0,2,1217
6,K,0,0,1218
8,Q,0,2,1219
T,9,1,2,1220
Q,3,1,0,1221
K,T,0,2,1222
Q,2,0,0,1223
7,T,0,2,1224
4,8,0,0,1225
8,9,0,2,1226
6,Q,0,0,1227
Q,K,0,2,1228
9,6,0,2,1229
A,8,0,0,1230
7,2,0,1,1231
8,3,0,1,1232
5,A,0,0,1233
4,T,0,0,1234
6,J,0,2,1235
2,5,0,1,1236
4,5,0,2,1237
K,4,0,2,1238
9,J,1,2,1239
3,2,1,2,1240
9,7,1,2,1241
4,K,0,2,1242
2,5,1,2,1243
8,Q,0,2,1244
9,8,1,2,1245
6,2,0,1,1246
J,8,0,2,1247
9,9,0,2,1248
6,T,1,2,1249
J,Q,0,0,1250
K,J,1,2,1251
A,5,0,0,1252
K,4,1,0,1253
T,6,0,2,1254
5,9,0,0,1255
J,9,0,2,1256
T,A,1,2,1257
K,J,0,2,1258
2,4,0,1,1259
A,4,0,2,1260
Q,5,0,2,1261
7,8,0,0,1262
3,Q,0,0,1263
7,5,0,2,1264
3,8,1,2,1265
5,9,0,0,1266
4,5,0,2,1267
2,3,0,1,1268
7,5,0,2,1269
2,J,0,0,1270
8,7,0,2,1271
3,6,0,0,1272
4,4,0,2,1273
8,4,1,2,1274
9,4,0,0,1275
7,3,0,0,1276
T,9,0,2,1277
9,4,0,0,1278
6,9,0,2,1279
4,K,0,2,1280
8,6,0,0,1281
A,9,1,2,1282
3,5,0,0,1283
4,7,0,2,1284
6,3,0,0,1285
6,8,0,2,1286
7,2,0,1,1287
4,9,0,0,1288
2,J,0,0,1289
Q,4,0,2,1290
T,A,0,2,1291
5,J,0,2,1292
J,4,1,2,1293
5,5,0,2,1294
A,6,0,2,1295
3,2,0,1,1296
5,A,0,2,1297
2,3,1,2,1298
2,9,0,1,1299
4,T,0,0,1300
3,J,0,0,1301
8,3,0,1,1302
9,7,0,2,1303
2,T,0,0,1304
J,T,0,0,1305
3,3,0,2,1306
A,2,1,0,1307
Q,8,0,2,1308
6,6,0,2,1309
5,3,0,2,1310
9,T,0,2,1311
6,3,0,0,1312
9,T,1,2,1313
T,J,0,2,1314
4,8,0,0,1315
8,9,0,0,1316
T,T,0,2,1317
Q,9,0,2,1318
A,2,1,0,1319
J,4,1,2,1320
6,9,0,2,1321
A,8,0,0,1322
J,2,0,0,1323
A,6,1,2,1324
7,4,0,0,1325
8,5,0,2,1326
6,9,0,2,1327
T,5,0,0,1328
T,4,0,0,1329
K,3,0,0,1330
T,T,0,2,1331
4,T,0,0,1332
J,Q,1,2,1333
7,A,0,0,1334
8,4,0,0,1335
T,6,1,0,1336
Q,6,1,2,1337
2,6,0,1,1338
