handcard1,handcard2,samesuit,preflopfirstactioninnumber,Id
8,9,1,2,513
3,5,0,2,514
T,5,0,0,515
T,9,0,2,516
J,3,0,0,517
5,9,1,2,518
5,5,0,2,519
A,4,0,2,520
A,J,0,0,521
J,7,0,2,522
Q,5,0,2,523
7,K,0,2,524
K,6,0,2,525
Q,A,0,2,526
6,7,0,0,527
7,6,0,2,528
J,8,0,2,529
T,8,1,2,530
K,8,0,2,531
2,J,1,2,532
T,2,0,0,533
K,4,0,2,534
T,7,1,0,535
8,K,0,2,536
J,9,0,2,537
4,5,0,2,538
Q,7,0,2,539
3,Q,0,2,540
8,8,0,2,541
K,T,0,2,542
2,T,0,0,543
Q,7,0,0,544
T,6,0,2,545
Q,6,1,0,546
K,K,0,2,547
J,5,0,0,548
8,7,0,2,549
5,A,1,2,550
A,A,0,2,551
3,T,0,0,552
5,7,0,2,553
7,3,0,0,554
K,K,0,2,555
8,6,0,0,556
8,7,1,2,557
9,9,0,2,558
T,5,1,2,559
K,2,0,2,560
4,A,0,0,561
Q,A,0,2,562
2,A,0,2,563
4,6,0,2,564
4,T,0,0,565
8,K,0,2,566
2,Q,0,0,567
J,9,0,2,568
A,3,0,2,569
T,A,0,2,570
6,9,1,0,571
A,Q,0,2,572
A,J,0,2,573
K,5,0,2,574
K,3,1,0,575
5,A,0,2,576
A,4,1,0,577
3,4,1,2,578
T,6,0,2,579
2,K,1,0,580
K,A,0,2,581
5,8,0,0,582
8,7,0,2,583
6,4,0,0,584
J,3,0,0,585
3,7,1,2,586
6,2,1,2,587
6,Q,1,0,588
3,7,1,2,589
Q,4,0,0,590
J,2,0,0,591
8,8,0,2,592
2,A,0,2,593
T,2,0,0,594
3,6,0,0,595
T,3,0,0,596
5,Q,0,0,597
6,J,0,2,598
5,T,0,2,599
8,7,0,2,600
6,7,0,2,601
Q,K,0,2,602
8,4,1,2,603
3,J,0,0,604
A,7,1,2,605
9,5,0,0,606
9,A,0,0,607
K,8,0,2,608
8,4,0,0,609
8,3,1,2,610
4,T,1,2,611
K,9,0,0,612
Q,T,0,2,613
6,4,0,2,614
T,T,0,2,615
9,A,0,2,616
J,6,0,0,617
6,T,1,2,618
9,Q,0,2,619
T,5,1,2,620
6,5,0,2,621
9,8,0,2,622
J,K,0,2,623
A,4,1,2,624
K,4,0,2,625
4,6,1,0,626
7,9,0,2,627
Q,6,0,2,628
K,4,0,2,629
7,J,0,2,630
4,T,1,2,631
5,5,0,2,632
4,J,0,2,633
3,Q,0,0,634
K,8,0,2,635
2,8,1,0,636
3,T,1,2,637
K,J,0,0,638
K,8,0,0,639
9,6,0,2,640
9,Q,0,2,641
K,T,1,2,642
7,J,0,2,643
9,3,1,2,644
6,2,1,0,645
Q,Q,0,2,646
6,J,0,2,647
K,7,0,2,648
4,6,0,2,649
J,A,0,2,650
5,7,1,0,651
J,4,1,2,652
A,7,0,2,653
J,K,0,0,654
9,5,1,2,655
A,4,0,0,656
Q,2,0,0,657
K,9,1,2,658
6,8,0,2,659
Q,K,0,2,660
Q,9,0,0,661
7,Q,0,2,662
5,5,0,0,663
J,A,0,0,664
9,6,0,2,665
A,8,1,2,666
J,7,1,0,667
5,7,0,2,668
A,4,0,2,669
Q,Q,0,2,670
8,5,0,0,671
8,7,0,0,672
5,A,1,2,673
6,Q,0,2,674
6,T,0,2,675
8,Q,0,2,676
A,K,0,2,677
K,2,0,2,678
T,9,1,2,679
K,3,1,2,680
Q,4,0,2,681
Q,T,0,2,682
T,Q,0,2,683
2,5,1,2,684
K,J,0,2,685
6,K,0,0,686
6,7,0,2,687
8,6,0,2,688
7,Q,0,2,689
T,4,1,2,690
6,3,0,0,691
A,4,0,2,692
8,Q,0,2,693
3,3,0,2,694
K,J,1,2,695
8,Q,0,2,696
J,2,1,2,697
A,K,0,2,698
J,J,0,2,699
T,J,0,2,700
6,8,0,2,701
J,Q,1,2,702
K,7,1,0,703
J,K,0,2,704
7,5,0,2,705
9,6,1,2,706
7,T,0,2,707
3,5,0,2,708
K,8,1,2,709
A,3,0,2,710
9,6,0,2,711
8,3,1,2,712
4,2,1,2,713
3,T,0,0,714
3,J,0,0,715
2,K,1,0,716
6,2,1,2,717
8,K,1,2,718
T,2,0,0,719
2,5,1,0,720
K,K,0,2,721
A,6,1,2,722
6,9,0,2,723
K,K,0,2,724
9,5,0,2,725
3,K,0,2,726
3,3,0,2,727
2,J,0,0,728
5,K,0,0,729
6,A,0,2,730
Q,J,1,2,731
8,5,1,2,732
4,7,0,2,733
A,7,0,2,734
A,8,1,2,735
A,Q,0,2,736
5,Q,0,2,737
2,4,1,2,738
5,T,1,2,739
7,Q,0,2,740
Q,6,0,2,741
4,3,1,2,742
3,K,1,0,743
8,4,0,0,744
A,6,1,0,745
J,K,0,0,746
4,7,0,2,747
5,4,1,2,748
8,2,1,0,749
4,T,0,0,750
9,K,1,2,751
A,9,0,0,752
K,8,1,2,753
5,4,0,2,754
K,9,0,0,755
3,9,1,2,756
3,T,1,2,757
9,J,0,0,758
Q,K,0,2,759
5,3,0,0,760
7,A,0,2,761
J,8,0,2,762
7,6,0,2,763
T,8,0,2,764
7,3,0,0,765
9,5,0,0,766
K,4,0,2,767
6,Q,1,0,768
J,J,0,2,769
T,4,1,2,770
K,Q,0,0,771
T,4,0,0,772
A,6,0,2,773
6,A,0,2,774
9,7,0,2,775
3,K,0,2,776
3,5,0,2,777
7,T,1,2,778
Q,T,0,0,779
K,A,1,2,780
6,J,0,0,781
A,6,0,2,782
2,A,0,2,783
7,J,0,0,784
9,Q,0,2,785
3,K,0,0,786
T,2,1,2,787
J,7,0,2,788
4,8,0,0,789
5,5,0,2,790
6,7,0,0,791
7,8,0,0,792
5,7,0,2,793
8,Q,0,2,794
4,K,0,2,795
Q,A,0,2,796
9,9,0,2,797
4,Q,0,2,798
9,J,0,2,799
2,2,0,2,800
4,3,0,2,801
7,A,1,2,802
6,T,0,0,803
8,4,0,0,804
2,T,1,2,805
7,8,0,2,806
T,K,0,2,807
8,9,0,2,808
4,8,0,0,809
Q,4,0,2,810
A,7,0,0,811
A,7,0,2,812
9,4,0,0,813
8,5,0,0,814
Q,T,0,0,815
7,4,0,0,816
J,9,0,2,817
5,7,0,2,818
8,T,1,2,819
J,8,0,2,820
8,Q,0,2,821
A,3,0,2,822
K,2,0,2,823
Q,4,0,2,824
5,K,0,2,825
7,A,0,2,826
J,4,1,0,827
5,4,0,2,828
T,9,1,2,829
J,2,1,2,830
4,5,1,2,831
7,6,1,2,832
3,5,0,0,833
9,5,0,0,834
2,Q,1,0,835
3,5,0,2,836
6,5,0,0,837
4,A,0,2,838
A,7,0,2,839
3,6,1,2,840
T,9,1,2,841
2,Q,0,0,842
K,J,1,2,843
9,7,0,2,844
6,K,0,2,845
T,Q,0,2,846
2,5,1,2,847
8,J,1,2,848
4,J,1,2,849
J,A,1,2,850
J,T,1,2,851
8,5,0,2,852
2,J,0,0,853
3,5,0,0,854
4,7,1,2,855
5,9,0,0,856
2,T,0,0,857
7,7,0,2,858
Q,K,0,2,859
K,6,1,2,860
9,K,1,2,861
T,7,0,2,862
9,A,0,2,863
J,8,0,2,864
7,5,0,2,865
3,A,0,0,866
A,J,0,2,867
7,J,0,2,868
Q,A,1,2,869
K,3,1,0,870
9,9,0,2,871
Q,A,0,2,872
9,Q,0,0,873
A,2,0,2,874
J,6,0,2,875
8,K,0,2,876
9,5,0,0,877
Q,7,0,2,878
T,3,0,0,879
6,A,0,2,880
K,4,0,2,881
4,Q,0,0,882
8,2,1,2,883
6,J,0,2,884
A,J,0,2,885
5,T,0,0,886
8,5,0,2,887
5,4,1,2,888
3,5,1,2,889
A,6,0,2,890
Q,5,0,2,891
K,2,0,0,892
2,4,1,2,893
4,4,0,2,894
4,5,0,2,895
T,T,0,2,896
Q,9,1,2,897
J,8,1,2,898
A,Q,0,2,899
5,9,0,0,900
8,K,1,2,901
5,K,1,0,902
6,K,0,2,903
4,Q,0,2,904
9,T,1,2,905
J,K,0,2,906
9,K,0,2,907
Q,K,1,2,908
Q,J,1,2,909
A,6,1,2,910
J,A,0,2,911
J,5,0,2,912
A,9,1,2,913
6,9,0,0,914
A,T,0,2,915
A,4,0,0,916
T,Q,0,0,917
9,3,0,0,918
J,7,0,2,919
A,Q,0,2,920
6,Q,1,2,921
5,K,0,2,922
4,8,0,0,923
9,T,1,0,924
7,T,0,2,925
Q,6,0,2,926
3,6,0,0,927
4,9,0,0,928
8,K,0,2,929
7,T,0,2,930
9,4,0,0,931
3,7,1,2,932
Q,4,0,2,933
Q,T,0,2,934
9,7,0,2,935
Q,T,0,2,936
Q,8,0,2,937
Q,5,0,2,938
9,6,1,2,939
J,Q,1,2,940
A,3,0,2,941
3,J,0,0,942
7,5,0,2,943
J,3,1,2,944
J,Q,0,2,945
9,5,1,2,946
8,Q,0,2,947
8,7,1,2,948
A,5,1,2,949
Q,A,0,2,950
A,9,1,2,951
A,6,1,2,952
5,T,1,2,953
7,8,0,2,954
A,7,0,0,955
9,6,0,0,956
Q,7,0,2,957
A,3,0,2,958
T,8,0,0,959
9,5,0,2,960
T,A,0,2,961
5,3,0,2,962
9,9,0,2,963
J,7,0,2,964
7,4,1,2,965
2,Q,0,0,966
A,9,0,2,967
8,8,0,2,968
4,6,0,0,969
A,T,0,2,970
J,5,0,2,971
4,Q,0,2,972
K,8,0,2,973
K,4,0,2,974
2,3,1,2,975
8,9,1,2,976
5,5,0,2,977
4,5,1,2,978
7,A,0,2,979
8,T,0,2,980
A,T,1,2,981
Q,5,0,2,982
8,9,1,2,983
Q,A,1,2,984
T,2,0,0,985
8,K,0,0,986
Q,8,0,2,987
4,5,1,2,988
7,6,0,0,989
K,4,0,2,990
3,A,0,2,991
7,K,0,2,992
8,A,0,0,993
4,A,0,0,994
8,9,0,2,995
5,Q,0,2,996
6,Q,0,2,997
8,9,0,2,998
J,4,0,2,999
9,T,0,2,1000
6,8,1,2,1001
9,7,1,2,1002
7,3,0,0,1003
4,3,0,0,1004
K,7,1,2,1005
5,3,1,2,1006
A,9,1,2,1007
3,5,0,0,1008
5,A,1,2,1009
7,T,1,2,1010
A,4,0,2,1011
K,T,0,2,1012
K,T,0,2,1013
K,2,0,0,1014
J,3,0,0,1015
7,9,1,2,1016
T,9,0,2,1017
2,J,0,0,1018
Q,T,0,2,1019
J,Q,0,2,1020
A,6,0,2,1021
8,J,1,0,1022
4,5,1,2,1023
5,2,1,2,1024
8,3,1,2,1025
Q,T,0,0,1026
J,5,0,2,1027
J,6,0,2,1028
A,5,0,2,1029
3,A,0,2,1030
T,7,1,2,1031
T,T,0,2,1032
J,5,0,2,1033
Q,5,0,2,1034
2,T,1,2,1035
7,7,0,2,1036
K,8,1,2,1037
2,5,0,0,1038
7,9,1,2,1039
Q,4,0,2,1040
3,Q,0,0,1041
6,4,0,2,1042
K,Q,1,2,1043
3,K,0,0,1044
3,Q,0,0,1045
A,3,0,2,1046
7,9,1,2,1047
9,K,0,2,1048
K,6,0,2,1049
5,8,0,2,1050
6,8,0,0,1051
6,8,0,2,1052
3,2,1,0,1053
9,Q,0,0,1054
9,5,1,2,1055
5,3,1,2,1056
9,T,0,2,1057
3,Q,0,0,1058
J,2,0,0,1059
6,6,0,2,1060
7,A,0,0,1061
4,K,1,2,1062
J,4,0,0,1063
A,3,1,0,1064
8,Q,0,2,1065
K,Q,0,2,1066
Q,2,0,0,1067
2,Q,1,2,1068
T,K,0,0,1069
6,6,0,2,1070
2,2,0,2,1071
4,5,0,0,1072
Q,3,0,0,1073
K,Q,0,2,1074
8,7,0,2,1075
T,3,1,2,1076
J,7,0,2,1077
J,7,0,2,1078
Q,2,1,0,1079
K,2,0,2,1080
4,8,1,2,1081
7,6,1,2,1082
T,7,1,2,1083
A,T,0,2,1084
4,T,0,0,1085
2,A,0,2,1086
4,J,0,2,1087
A,J,0,2,1088
8,4,0,0,1089
8,5,0,0,1090
J,6,0,0,1091
Q,7,0,2,1092
3,K,1,0,1093
6,9,0,2,1094
K,2,0,0,1095
4,K,1,0,1096
A,9,1,2,1097
A,4,1,2,1098
6,9,1,2,1099
T,3,0,0,1100
4,J,0,2,1101
9,T,0,0,1102
6,A,0,2,1103
A,8,0,2,1104
Q,6,0,2,1105
A,Q,0,2,1106
A,T,0,2,1107
8,Q,0,2,1108
T,5,0,0,1109
8,Q,0,2,1110
3,6,0,0,1111
3,5,0,0,1112
4,Q,0,2,1113
Q,T,0,0,1114
J,J,0,2,1115
6,K,0,0,1116
8,Q,0,2,1117
T,9,1,2,1118
Q,3,1,0,1119
K,T,0,2,1120
Q,2,0,0,1121
7,T,0,2,1122
4,8,0,0,1123
8,9,0,2,1124
6,Q,0,0,1125
Q,K,0,2,1126
9,6,0,2,1127
A,8,0,0,1128
5,A,0,0,1129
4,T,0,0,1130
6,J,0,2,1131
4,5,0,2,1132
K,4,0,2,1133
9,J,1,2,1134
3,2,1,2,1135
9,7,1,2,1136
4,K,0,2,1137
2,5,1,2,1138
8,Q,0,2,1139
9,8,1,2,1140
J,8,0,2,1141
9,9,0,2,1142
6,T,1,2,1143
J,Q,0,0,1144
K,J,1,2,1145
A,5,0,0,1146
K,4,1,0,1147
T,6,0,2,1148
5,9,0,0,1149
J,9,0,2,1150
T,A,1,2,1151
K,J,0,2,1152
A,4,0,2,1153
Q,5,0,2,1154
7,8,0,0,1155
3,Q,0,0,1156
7,5,0,2,1157
3,8,1,2,1158
5,9,0,0,1159
4,5,0,2,1160
7,5,0,2,1161
2,J,0,0,1162
8,7,0,2,1163
3,6,0,0,1164
4,4,0,2,1165
8,4,1,2,1166
9,4,0,0,1167
7,3,0,0,1168
T,9,0,2,1169
9,4,0,0,1170
6,9,0,2,1171
4,K,0,2,1172
8,6,0,0,1173
A,9,1,2,1174
3,5,0,0,1175
4,7,0,2,1176
6,3,0,0,1177
6,8,0,2,1178
4,9,0,0,1179
2,J,0,0,1180
Q,4,0,2,1181
T,A,0,2,1182
5,J,0,2,1183
J,4,1,2,1184
5,5,0,2,1185
A,6,0,2,1186
5,A,0,2,1187
2,3,1,2,1188
4,T,0,0,1189
3,J,0,0,1190
9,7,0,2,1191
2,T,0,0,1192
J,T,0,0,1193
3,3,0,2,1194
A,2,1,0,1195
Q,8,0,2,1196
6,6,0,2,1197
5,3,0,2,1198
9,T,0,2,1199
6,3,0,0,1200
9,T,1,2,1201
T,J,0,2,1202
4,8,0,0,1203
8,9,0,0,1204
T,T,0,2,1205
Q,9,0,2,1206
A,2,1,0,1207
J,4,1,2,1208
6,9,0,2,1209
A,8,0,0,1210
J,2,0,0,1211
A,6,1,2,1212
7,4,0,0,1213
8,5,0,2,1214
6,9,0,2,1215
T,5,0,0,1216
T,4,0,0,1217
K,3,0,0,1218
T,T,0,2,1219
4,T,0,0,1220
J,Q,1,2,1221
7,A,0,0,1222
8,4,0,0,1223
T,6,1,0,1224
Q,6,1,2,1225
T,A,1,2,1226
8,7,1,2,1227
J,7,0,0,1228
9,T,0,0,1229
A,T,0,2,1230
A,J,1,0,1231
A,A,0,2,1232
Q,2,0,0,1233
K,7,0,2,1234
J,6,0,0,1235
8,T,0,2,1236
A,K,0,2,1237
2,K,0,2,1238
7,8,1,2,1239
4,3,0,0,1240
Q,4,0,2,1241
J,Q,0,2,1242
2,2,0,0,1243
6,T,1,0,1244
Q,A,0,2,1245
J,3,1,2,1246
7,Q,1,0,1247
T,3,1,2,1248
J,3,0,0,1249
9,9,0,2,1250
A,A,0,2,1251
T,Q,1,2,1252
K,J,0,2,1253
4,T,0,0,1254
5,J,0,2,1255
2,9,1,2,1256
J,2,0,0,1257
Q,3,1,2,1258
9,Q,0,0,1259
4,8,0,0,1260
9,J,1,2,1261
8,7,0,2,1262
Q,J,0,2,1263
A,2,1,0,1264
A,6,1,2,1265
7,8,0,2,1266
3,K,0,2,1267
9,8,0,0,1268
T,J,0,0,1269
4,A,0,2,1270
T,8,0,2,1271
Q,7,0,2,1272
4,9,0,0,1273
K,J,0,2,1274
T,J,0,2,1275
9,9,0,2,1276
8,4,0,0,1277
3,A,1,2,1278
2,3,1,0,1279
A,4,1,2,1280
A,9,0,2,1281
6,7,1,2,1282
5,Q,0,0,1283
7,Q,1,0,1284
5,3,0,2,1285
A,4,0,2,1286
A,6,0,2,1287
5,6,1,2,1288
J,7,1,0,1289
5,T,0,2,1290
A,J,0,2,1291
4,K,1,0,1292
Q,Q,0,2,1293
Q,8,1,0,1294
7,7,0,2,1295
Q,Q,0,2,1296
Q,K,0,0,1297
J,5,0,2,1298
7,A,0,2,1299
T,4,0,0,1300
A,J,1,2,1301
Q,4,1,2,1302
Q,J,0,0,1303
5,6,0,2,1304
7,4,1,0,1305
8,6,0,2,1306
6,K,0,2,1307
4,A,0,0,1308
J,A,0,2,1309
A,6,0,2,1310
J,4,0,0,1311
2,Q,0,0,1312
4,8,0,0,1313
9,K,0,0,1314
J,3,0,0,1315
A,4,0,2,1316
A,J,0,2,1317
8,J,0,2,1318
4,Q,0,0,1319
T,7,0,2,1320
A,Q,0,2,1321
A,2,0,2,1322
J,7,0,2,1323
K,5,0,2,1324
9,9,0,2,1325
4,9,1,2,1326
J,5,0,2,1327
4,J,0,2,1328
3,6,1,0,1329
7,J,0,2,1330
Q,A,0,2,1331
Q,A,0,2,1332
A,A,0,2,1333
Q,8,0,2,1334
K,8,0,2,1335
7,8,1,0,1336
